1
2
3
1,2
1,3
1,7
1,8
1,9
1,14
1,15
1,19
1,20
1,21
1,45
1,46
1,50
1,51
1,56
1,60
1,61
1,81
1,82
1,86
1,87
1,91
1,95
1,117
1,122
1,127
1,131
1,153
1,154
1,158
1,159
1,167
1,185
1,186
1,190
1,191
1,199
2,3
2,8
2,9
2,14
2,15
2,20
2,21
2,25
2,26
2,30
2,31
2,36
2,40
2,41
2,81
2,86
2,99
2,108
2,154
2,159
2,163
2,167
2,171
2,178
3,9
3,15
3,21
3,26
3,31
3,41
3,56
3,61
3,65
3,69
3,77
1,8,91
1,8,95
1,8,99
1,8,100
1,8,104
1,8,108
1,8,109
1,8,113
1,8,117
1,8,118
1,8,122
1,8,123
1,8,127
1,8,131
1,8,135
1,8,136
1,8,140
1,8,144
1,8,145
1,8,149
1,8,153
1,8,154
1,8,158
1,8,159
1,8,163
1,8,167
1,8,171
1,8,178
1,8,185
1,8,186
1,8,190
1,8,191
1,8,195
1,8,199
1,8,203
1,8,210
1,9,14
1,9,15
1,9,19
1,9,20
1,9,21
1,9,25
1,9,26
1,9,31
1,9,35
1,9,36
1,9,45
1,9,46
1,9,50
1,9,51
1,9,55
1,9,56
1,9,60
1,9,61
1,9,65
1,9,69
1,9,73
1,9,77
1,9,81
1,9,82
1,9,86
1,9,87
1,9,91
1,9,95
1,9,99
1,9,100
1,9,104
1,9,108
1,9,109
1,9,113
1,9,117
1,9,118
1,9,122
1,9,123
1,9,127
1,9,135
1,9,136
1,9,140
1,9,144
1,9,145
1,9,149
1,9,153
1,9,154
1,9,158
1,9,159
1,9,163
1,9,167
1,9,171
1,9,178
1,9,185
1,9,186
1,9,190
1,9,191
1,9,195
1,9,199
1,9,203
1,9,210
1,14,15
1,14,20
1,14,21
1,14,25
1,14,26
1,14,35
1,14,36
1,14,45
1,14,46
1,14,50
1,14,51
1,14,56
1,14,60
1,14,61
1,14,65
1,14,69
1,14,73
1,14,77
1,14,81
1,14,82
1,14,86
1,14,87
1,14,91
1,14,95
1,14,99
1,14,100
1,14,104
1,14,108
1,14,109
1,14,113
1,14,117
1,14,118
1,14,122
1,14,123
1,14,127
1,14,131
1,14,135
1,14,136
1,14,140
1,14,144
1,14,145
1,14,149
1,14,153
1,14,154
1,14,158
1,14,159
1,14,163
1,14,167
1,14,171
1,14,178
1,14,185
1,14,186
1,14,190
1,14,191
1,14,195
1,14,199
1,14,203
1,14,210
1,15,19
1,15,20
1,15,21
1,15,25
1,15,26
1,15,36
1,15,45
1,15,46
1,15,50
1,15,51
1,15,55
1,15,56
1,15,60
1,15,61
1,15,65
1,15,69
1,15,73
1,15,77
1,15,81
1,15,82
1,15,86
1,15,87
1,15,91
1,15,95
1,15,99
1,15,100
1,15,104
1,15,108
1,15,109
1,15,113
1,15,117
1,15,122
1,15,127
1,15,131
1,15,135
1,15,136
1,15,140
1,15,144
1,15,145
1,15,149
1,15,153
1,15,154
1,15,158
1,15,159
1,15,163
1,15,167
1,15,171
1,15,178
1,15,185
1,15,186
1,15,190
1,15,191
1,15,195
1,15,199
1,15,203
1,15,210
1,19,45
1,19,46
1,19,50
1,19,51
1,19,81
1,19,82
1,19,87
1,19,117
1,19,118
1,19,123
1,19,153
1,19,154
1,19,159
1,19,185
1,19,186
1,19,191
1,20,21
1,20,25
1,20,26
1,20,40
1,20,45
1,20,46
1,20,51
1,20,56
1,20,60
1,20,61
1,20,65
1,20,69
1,20,73
1,20,77
1,20,81
1,20,82
1,20,86
1,20,87
1,20,91
1,20,95
1,20,99
1,20,100
1,20,104
1,20,108
1,20,109
1,20,113
1,20,117
1,20,118
1,20,122
1,20,123
1,20,127
1,20,131
1,20,135
1,20,136
1,20,140
1,20,144
1,20,145
1,20,149
1,20,153
1,20,154
1,20,158
1,20,159
1,20,163
1,20,167
1,20,171
1,20,178
1,20,185
1,20,186
1,20,190
1,20,191
1,20,195
1,20,199
1,20,203
1,20,210
1,21,26
1,21,45
1,21,46
1,21,50
1,21,51
1,21,55
1,21,56
1,21,60
1,21,61
1,21,65
1,21,69
1,21,73
1,21,77
1,21,81
1,21,82
1,21,86
1,21,91
1,21,95
1,21,99
1,21,100
1,21,104
1,21,108
1,21,109
1,21,113
1,21,117
1,21,122
1,21,127
1,21,131
1,21,135
1,21,136
1,21,140
1,21,144
1,21,145
1,21,149
1,21,153
1,21,154
1,21,158
1,21,159
1,21,163
1,21,167
1,21,171
1,21,178
1,21,185
1,21,186
1,21,190
1,21,191
1,21,195
1,21,199
1,21,203
1,21,210
1,45,60
1,45,81
1,45,82
1,45,86
1,45,87
1,45,91
1,45,95
1,45,153
1,45,154
1,45,158
1,45,159
1,45,167
1,46,51
1,46,56
1,46,61
1,46,65
1,46,69
1,46,73
1,46,77
1,46,81
1,46,82
1,46,86
1,46,87
1,46,99
1,46,100
1,46,104
1,46,108
1,46,109
1,46,113
1,46,117
1,46,118
1,46,122
1,46,123
1,46,135
1,46,136
1,46,140
1,46,144
1,46,145
1,46,149
1,46,153
1,46,154
1,46,158
1,46,159
1,46,163
1,46,167
1,46,171
1,46,178
1,46,185
1,46,186
1,46,190
1,46,191
1,46,195
1,46,199
1,46,203
1,46,210
1,50,81
1,50,82
1,50,86
1,50,87
1,50,91
1,50,95
1,50,99
1,50,100
1,50,104
1,50,108
1,50,109
1,50,113
1,50,153
1,50,154
1,50,158
1,50,159
1,50,163
1,50,167
1,50,171
1,50,178
1,51,56
1,51,61
1,51,65
1,51,69
1,51,73
1,51,81
1,51,82
1,51,86
1,51,99
1,51,100
1,51,104
1,51,108
1,51,109
1,51,113
1,51,117
1,51,118
1,51,122
1,51,123
1,51,135
1,51,136
1,51,140
1,51,144
1,51,145
1,51,149
1,51,153
1,51,154
1,51,158
1,51,159
1,51,163
1,51,167
1,51,171
1,51,178
1,51,185
1,51,186
1,51,190
1,51,191
1,51,195
1,51,199
1,51,203
1,51,210
1,56,60
1,56,61
1,56,65
1,56,73
1,56,81
1,56,86
1,56,99
1,56,100
1,56,104
1,56,108
1,56,109
1,56,113
1,56,117
1,56,122
1,56,127
1,56,131
1,56,135
1,56,136
1,56,140
1,56,144
1,56,145
1,56,149
1,56,153
1,56,154
1,56,158
1,56,159
1,56,163
1,56,167
1,56,171
1,56,178
1,56,185
1,56,186
1,56,190
1,56,191
1,56,195
1,56,199
1,56,203
1,56,210
1,60,61
1,60,69
1,60,77
1,60,81
1,60,82
1,60,86
1,60,87
1,60,91
1,60,95
1,60,99
1,60,108
1,60,118
1,60,127
1,60,131
1,60,144
1,60,153
1,60,154
1,60,158
1,60,159
1,60,163
1,60,167
1,60,171
1,60,178
1,60,185
1,60,190
1,61,65
1,61,81
1,61,86
1,61,99
1,61,100
1,61,104
1,61,108
1,61,109
1,61,113
1,61,117
1,61,122
1,61,127
1,61,135
1,61,136
1,61,140
1,61,144
1,61,145
1,61,149
1,61,153
1,61,154
1,61,158
1,61,159
1,61,163
1,61,167
1,61,171
1,61,178
1,61,185
1,61,186
1,61,190
1,61,191
1,61,195
1,61,199
1,61,203
1,61,210
1,81,86
1,81,99
1,81,100
1,81,104
1,81,108
1,81,109
1,81,113
1,81,117
1,81,122
1,81,135
1,81,136
1,81,140
1,81,144
1,81,145
1,81,149
1,81,153
1,81,154
1,81,158
1,81,159
1,81,163
1,81,167
1,81,171
1,81,178
1,81,185
1,81,186
1,81,190
1,81,191
1,81,195
1,81,199
1,81,203
1,81,210
1,82,99
1,82,100
1,82,104
1,82,109
1,82,113
1,82,135
1,82,136
1,82,140
1,82,144
